ÊôÇÈñì,„ÉÅ„É£„É≥„Éç„É´A,„ÉÅ„É£„É≥„Éç„É´B,A - B,,ïΩãœ,ïWèÄïŒç∑
(s),(V),(V),(V),,0.009980984,0.004253548
,,,,,,
0,0.2744224,0.262154,0.01226845,,,
0.00016384,0.2744224,0.262154,0.01226845,,,
0.00032768,0.2744224,0.262154,0.01226845,,,
0.00049152,0.2744224,0.262154,0.01226845,,,
0.00065536,0.2744224,0.262154,0.01226845,,,
0.0008192,0.2744224,0.262154,0.01226845,,,
0.00098304,0.2744224,0.262154,0.01226845,,,
0.00114688,0.2744224,0.262154,0.01226845,,,
0.00131072,0.2655721,0.262154,0.00341809,,,
0.00147456,0.2744224,0.262154,0.01226845,,,
0.0016384,0.2744224,0.262154,0.01226845,,,
0.00180224,0.2744224,0.262154,0.01226845,,,
0.00196608,0.2744224,0.262154,0.01226845,,,
0.00212992,0.2744224,0.262154,0.01226845,,,
0.00229376,0.2744224,0.262154,0.01226845,,,
0.0024576,0.2744224,0.262154,0.01226845,,,
0.00262144,0.2744224,0.262154,0.01226845,,,
0.00278528,0.2655721,0.262154,0.00341809,,,
0.00294912,0.2744224,0.2711875,0.00323495,,,
0.00311296,0.2744224,0.262154,0.01226845,,,
0.0032768,0.2744224,0.262154,0.01226845,,,
0.00344064,0.2744224,0.262154,0.01226845,,,
0.00360448,0.2744224,0.262154,0.01226845,,,
0.00376832,0.2744224,0.262154,0.01226845,,,
0.00393216,0.2655721,0.262154,0.00341809,,,
0.004096,0.2744224,0.262154,0.01226845,,,
0.00425984,0.2744224,0.262154,0.01226845,,,
0.00442368,0.2744224,0.262154,0.01226845,,,
0.00458752,0.2744224,0.262154,0.01226845,,,
0.00475136,0.2744224,0.262154,0.01226845,,,
0.0049152,0.2655721,0.262154,0.00341809,,,
0.00507904,0.2655721,0.262154,0.00341809,,,
0.00524288,0.2744224,0.262154,0.01226845,,,
0.00540672,0.2832728,0.262154,0.02111882,,,
0.00557056,0.2744224,0.262154,0.01226845,,,
0.0057344,0.2744224,0.262154,0.01226845,,,
0.00589824,0.2655721,0.2531205,0.01245156,,,
0.00606208,0.2655721,0.262154,0.00341809,,,
0.00622592,0.2744224,0.262154,0.01226845,,,
0.00638976,0.2744224,0.262154,0.01226845,,,
0.0065536,0.2744224,0.262154,0.01226845,,,
0.00671744,0.2744224,0.262154,0.01226845,,,
0.00688128,0.2744224,0.262154,0.01226845,,,
0.00704512,0.2744224,0.262154,0.01226845,,,
0.00720896,0.2744224,0.262154,0.01226845,,,
0.0073728,0.2744224,0.262154,0.01226845,,,
0.00753664,0.2744224,0.2711875,0.00323495,,,
0.00770048,0.2655721,0.262154,0.00341809,,,
0.00786432,0.2744224,0.262154,0.01226845,,,
0.00802816,0.2744224,0.262154,0.01226845,,,
0.008192,0.2744224,0.2711875,0.00323495,,,
0.00835584,0.2655721,0.262154,0.00341809,,,
0.00851968,0.2744224,0.262154,0.01226845,,,
0.00868352,0.2744224,0.262154,0.01226845,,,
0.00884736,0.2655721,0.262154,0.00341809,,,
0.0090112,0.2744224,0.262154,0.01226845,,,
0.00917504,0.2655721,0.262154,0.00341809,,,
0.00933888,0.2655721,0.262154,0.00341809,,,
0.00950272,0.2744224,0.262154,0.01226845,,,
0.00966656,0.2744224,0.262154,0.01226845,,,
0.0098304,0.2655721,0.262154,0.00341809,,,
0.00999424,0.2744224,0.262154,0.01226845,,,
0.01015808,0.2744224,0.262154,0.01226845,,,
0.01032192,0.2744224,0.262154,0.01226845,,,
0.01048576,0.2744224,0.262154,0.01226845,,,
0.0106496,0.2744224,0.262154,0.01226845,,,
0.01081344,0.2744224,0.262154,0.01226845,,,
0.01097728,0.2744224,0.262154,0.01226845,,,
0.01114112,0.2655721,0.262154,0.00341809,,,
0.01130496,0.2744224,0.262154,0.01226845,,,
0.0114688,0.2655721,0.262154,0.00341809,,,
0.01163264,0.2655721,0.262154,0.00341809,,,
0.01179648,0.2744224,0.262154,0.01226845,,,
0.01196032,0.2832728,0.2711875,0.01208532,,,
0.01212416,0.2744224,0.262154,0.01226845,,,
0.012288,0.2744224,0.262154,0.01226845,,,
0.01245184,0.2655721,0.262154,0.00341809,,,
0.01261568,0.2655721,0.262154,0.00341809,,,
0.01277952,0.2744224,0.262154,0.01226845,,,
0.01294336,0.2744224,0.262154,0.01226845,,,
